Product ASIN,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Product Conversion Rate,Ordered Revenue,Direct Conversion Rate,Commission Rate,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Total Earnings,Time Period
B0009IR3UI,600,-,-,238,39.67%,"$1,166.61",-,2.97%,166,0,$839.11,$24.96,$0.00,$0.00,$24.96,2026
B0D8VT7SWV,850,-,-,110,12.94%,"$3,553.58",-,2.84%,110,3,"$3,553.58",$100.93,$65.66,$2.63,$98.30,2026
B0G2ZMG22K,"1,072",-,-,73,6.81%,"$2,712.21",-,2.96%,73,1,"$2,712.21",$80.26,$11.62,$0.35,$79.91,2026
B0DHZT5M2H,"1,542",-,-,107,6.94%,"$2,290.14",-,3.37%,106,3,"$2,265.18",$76.27,$33.97,$1.11,$75.16,2026
B0097GKTO0,855,-,-,84,9.82%,"$2,593.65",-,3.01%,77,0,"$2,486.16",$74.86,$0.00,$0.00,$74.86,2026
B0FW1M4NVR,"1,045",-,-,75,7.18%,"$2,269.65",-,3.22%,74,6,"$2,246.57",$72.45,$122.60,$4.13,$68.32,2026
B0FJMLGJ9W,877,-,-,105,11.97%,"$1,979.02",-,3.36%,105,2,"$1,979.02",$66.46,$91.46,$3.06,$63.40,2026
B01K1J6Z94,"1,104",-,-,91,8.24%,"$2,082.81",-,3.06%,92,5,"$2,092.80",$63.97,$63.65,$2.04,$61.93,2026
B0DTZ4ZDWD,840,-,-,70,8.33%,"$1,892.55",-,3.24%,69,4,"$1,880.56",$61.02,$84.99,$2.72,$58.30,2026
B0BN26V4VG,"1,636",-,-,97,5.93%,"$2,098.44",-,3.04%,97,6,"$2,098.43",$63.73,$166.13,$5.82,$57.91,2026
B085HFHW42,535,-,-,93,17.38%,"$2,037.11",-,2.92%,93,2,"$2,037.11",$59.39,$41.98,$1.79,$57.60,2026
B0F2GF51ZH,995,-,-,116,11.66%,"$2,302.01",-,3.13%,115,11,"$2,293.02",$71.72,$367.63,$14.51,$57.21,2026
B0BMDNTSKB,"1,478",-,-,106,7.17%,"$1,896.25",-,3.18%,106,3,"$1,896.25",$60.24,$89.82,$3.59,$56.65,2026
B0CLP6KP2B,"1,741",-,-,107,6.15%,"$2,031.20",-,3.36%,104,6,"$1,907.23",$64.03,$196.82,$7.63,$56.40,2026
B0GGTMBL7X,978,-,-,114,11.66%,"$1,845.88",-,3.09%,114,1,"$1,845.88",$56.99,$17.99,$0.72,$56.27,2026
